id,code,acronym,name,internal_hours,external_hours,ects,subject_id:id
"ems.subject_171_2022_CAT1","171_2022_CAT1","CAT1","Llengua Catalana i literatura (1r)",66,0,0,""
"ems.subject_171_2022_CAS1","171_2022_CAS1","CAS1","Llengua Castellana i literatura (1r)",66,0,0,""
"ems.subject_171_2022_ANG1","171_2022_ANG1","ANG1","Llengua estrangera (anglès) (1r)",99,0,0,""
"ems.subject_171_2022_FILO","171_2022_FILO","FILO","Filosofia",66,0,0,""
"ems.subject_171_2022_EF","171_2022_EF","EF","Educació física",66,0,0,""
"ems.subject_171_2022_TUT1","171_2022_TUT1","TUT1","Tutoria (1r)",33,0,0,""
"ems.subject_171_2022_MAT1","171_2022_MAT1","MAT1","Matemàtiques (1r)",99,0,0,""
"ems.subject_171_2022_FIS1","171_2022_FIS1","FIS1","Física (1r)",99,0,0,""
"ems.subject_171_2022_TEC1","171_2022_TEC1","TEC1","Tecnologia i Enginyeria (1r)",99,0,0,""
"ems.subject_171_2022_DT1","171_2022_DT1","DT1","Dibuix tècnic (1r)",99,0,0,""
"ems.subject_171_2022_QUI1","171_2022_QUI1","QUI1","Química (1r)",99,0,0,""
"ems.subject_171_2022_CAT2","171_2022_CAT2","CAT2","Llengua Catalana i literatura (2n)",66,0,0,""
"ems.subject_171_2022_CAS2","171_2022_CAS2","CAS2","Llengua Castellana i literatura (2n)",66,0,0,""
"ems.subject_171_2022_ANG2","171_2022_ANG2","ANG2","Llengua estrangera (anglès) (2n)",99,0,0,""
"ems.subject_171_2022_HFIL","171_2022_HFIL","HFIL","Història de la Filosofia",99,0,0,""
"ems.subject_171_2022_HESP","171_2022_HESP","HESP","Història d'Espanya",99,0,0,""
"ems.subject_171_2022_TUT2","171_2022_TUT2","TUT2","Tutoria (2n)",33,0,0,""
"ems.subject_171_2022_TR","171_2022_TR","TR","Treball de Recerca",70,0,0,""
"ems.subject_171_2022_MAT2","171_2022_MAT2","MAT2","Matemàtiques (2n)",132,0,0,""
"ems.subject_171_2022_FIS2","171_2022_FIS2","FIS2","Física (2n)",132,0,0,""
"ems.subject_171_2022_TEC2","171_2022_TEC2","TEC2","Tecnologia i Enginyeria (2n)",132,0,0,""
"ems.subject_171_2022_HART","171_2022_HART","HART","Història de l'Art",132,0,0,""
"ems.subject_171_2022_ODS","171_2022_ODS","ODS","ODS",132,0,0,""
"ems.subject_171_2022_QUI2","171_2022_QUI2","QUI2","Química (2n)",132,0,0,""
"ems.subject_171_2022_DT2","171_2022_DT2","DT2","Dibuix tècnic (2n)",132,0,0,""
"ems.subject_171_2022_BIO1","171_2022_BIO1","BIO1","Biologia (1r)",99,0,0,""
"ems.subject_171_2022_GEO1","171_2022_GEO1","GEO1","Geologia i ciències ambieltals (1r)",99,0,0,""
"ems.subject_171_2022_PSI1","171_2022_PSI1","PSI1","Psicologia",99,0,0,""
"ems.subject_171_2022_FRA1","171_2022_FRA1","FRA1","Francès (1r)",99,0,0,""
"ems.subject_171_2022_LAT1","171_2022_LAT1","LAT1","Llengua i cultura Llatines (1r)",99,0,0,""
"ems.subject_171_2022_LUN1","171_2022_LUN1","LUN1","Literatura Universal (1r)",99,0,0,""
"ems.subject_171_2022_GRE1","171_2022_GRE1","GRE1","Llengua i cultura Gregues (1r)",99,0,0,""
"ems.subject_171_2022_HMON","171_2022_HMON","HMON","Història del món contemporani",99,0,0,""
"ems.subject_171_2022_ECON","171_2022_ECON","ECON","Economia",99,0,0,""
"ems.subject_171_2022_MSO1","171_2022_MSO1","MSO1","Matemàtiques aplicades a les ciències socials (1r)",99,0,0,""
"ems.subject_171_2022_FEM1","171_2022_FEM1","FEM1","Funcionament de l'empresa",99,0,0,""
"ems.subject_171_2022_BIO2","171_2022_BIO2","BIO2","Biologia (2n)",132,0,0,""
"ems.subject_171_2022_GEO2","171_2022_GEO2","GEO2","Geologia i ciències abieltals (2n)",132,0,0,""
"ems.subject_171_2022_FRA2","171_2022_FRA2","FRA2","Francès (2n)",132,0,0,""
"ems.subject_171_2022_MSO2","171_2022_MSO2","MSO2","Matemàtiques aplicades a les ciències socials (2n)",132,0,0,""
"ems.subject_171_2022_LAT2","171_2022_LAT2","LAT2","Llengua i cultura Llatines (2n)",132,0,0,""
"ems.subject_171_2022_GRE2","171_2022_GRE2","GRE2","Llengua i cultura Gregues (2n)",132,0,0,""
"ems.subject_171_2022_GEOG","171_2022_GEOG","GEOG","Geografia",132,0,0,""
"ems.subject_171_2022_FEM2","171_2022_FEM2","FEM2","Funcionament de l'Empresa i Disseny de Models de Negocis",132,0,0,""
"ems.subject_171_2022_SANG","171_2022_SANG","SANG","Sang i sistema immune. Afeccions.",11,0,0,""
"ems.subject_171_2022_ESCR","171_2022_ESCR","ESCR","Escritura creativa",11,0,0,""
"ems.subject_171_2022_COMA","171_2022_COMA","COMA","Consolidació de matemàtiques",11,0,0,""
"ems.subject_171_2022_PROT","171_2022_PROT","PROT","Els protagonistes de la història: quin és el motor de la història?",11,0,0,""
"ems.subject_171_2022_SNER","171_2022_SNER","SNER","Sistema nerviós i aparell locomotor. Afeccions.",11,0,0,""
"ems.subject_171_2022_DIAR","171_2022_DIAR","DIAR","El periódico del Puig",11,0,0,""
"ems.subject_171_2022_MAPL","171_2022_MAPL","MAPL","Matemàtiques aplicades",11,0,0,""
"ems.subject_171_2022_ETNO","171_2022_ETNO","ETNO","L’etnocentrisme: Occident és el melic del món. Està justificat que ho sigui?",11,0,0,""
"ems.subject_171_2022_REPR","171_2022_REPR","REPR","Reproducció humana o disseny humà",11,0,0,""
"ems.subject_171_2022_POES","171_2022_POES","POES","Taller de poesía",11,0,0,""
"ems.subject_171_2022_AMMA","171_2022_AMMA","AMMA","Ampliació de matemàtiques",11,0,0,""
"ems.subject_171_2022_MEMH","171_2022_MEMH","MEMH","La memòria històrica: serveix per a no repetir la història?",11,0,0,""
"ems.subject_171_2022_NANO","171_2022_NANO","NANO","Nanociència al latorabori",11,0,0,""
"ems.subject_171_2022_ROB1","171_2022_ROB1","ROB1","Robòtica aplicada a la Tecnologia i la Enginyeria I",11,0,0,""
"ems.subject_171_2022_CIUT","171_2022_CIUT","CIUT","Ciutadania",11,0,0,""
"ems.subject_171_2022_REL1","171_2022_REL1","REL1","Religió I",11,0,0,""
"ems.subject_171_2022_ONES","171_2022_ONES","ONES","Ones electromagnètiques",11,0,0,""
"ems.subject_171_2022_ROB2","171_2022_ROB2","ROB2","Robòtica aplicada a la Tecnologia i Enginyeria II",11,0,0,""
"ems.subject_171_2022_POLI","171_2022_POLI","POLI","Política",11,0,0,""
"ems.subject_171_2022_REL2","171_2022_REL2","REL2","Religió II",11,0,0,""
"ems.subject_171_2022_REAC","171_2022_REAC","REAC","Reaccions químiques quotidianes",11,0,0,""
"ems.subject_171_2022_CAUD","171_2022_CAUD","CAUD","Cultura Audiovisual",11,0,0,""
"ems.subject_171_2022_DRET","171_2022_DRET","DRET","Dret",11,0,0,""
