id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_ad_0647,ems.study_cfgs_aga0_ad_2024,ems.subject_0647,90.0,10.0
__import__.planning_ad_0648,ems.study_cfgs_aga0_ad_2024,ems.subject_0648,90.0,10.0
__import__.planning_ad_0649,ems.study_cfgs_aga0_ad_2024,ems.subject_0649,90.0,10.0
__import__.planning_ad_0650,ems.study_cfgs_aga0_ad_2024,ems.subject_0650,90.0,10.0
__import__.planning_ad_0651,ems.study_cfgs_aga0_ad_2024,ems.subject_0651,90.0,10.0
__import__.planning_ad_0661,ems.study_cfgs_aga0_ad_2024,ems.subject_0661,90.0,10.0
__import__.planning_ad_0662,ems.study_cfgs_aga0_ad_2024,ems.subject_0662,90.0,10.0
__import__.planning_ad_0663,ems.study_cfgs_aga0_ad_2024,ems.subject_0663,90.0,10.0
__import__.planning_ad_0180,ems.study_cfgs_aga0_ad_2024,ems.subject_0180,100.0,0.0
__import__.planning_ad_0664,ems.study_cfgs_aga0_ad_2024,ems.subject_0664,100.0,0.0
__import__.planning_ad_0179,ems.study_cfgs_aga0_ad_2024,ems.subject_0179,100.0,0.0
__import__.planning_ad_1665,ems.study_cfgs_aga0_ad_2024,ems.subject_1665,100.0,0.0
__import__.planning_ad_1708,ems.study_cfgs_aga0_ad_2024,ems.subject_1708,100.0,0.0
__import__.planning_ad_1709,ems.study_cfgs_aga0_ad_2024,ems.subject_1709,100.0,0.0
__import__.planning_ad_1710,ems.study_cfgs_aga0_ad_2024,ems.subject_1710,100.0,0.0
__import__.planning_ad_C076,ems.study_cfgs_aga0_ad_2024,ems.subject_C076,100.0,0.0
