id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_aif_0647,ems.study_cfgs_agb0_aif_2024,ems.subject_0647,90.0,10.0
__import__.planning_aif_0648,ems.study_cfgs_agb0_aif_2024,ems.subject_0648,90.0,10.0
__import__.planning_aif_0649,ems.study_cfgs_agb0_aif_2024,ems.subject_0649,90.0,10.0
__import__.planning_aif_0650,ems.study_cfgs_agb0_aif_2024,ems.subject_0650,90.0,10.0
__import__.planning_aif_0651,ems.study_cfgs_agb0_aif_2024,ems.subject_0651,90.0,10.0
__import__.planning_aif_0652,ems.study_cfgs_agb0_aif_2024,ems.subject_0652,90.0,10.0
__import__.planning_aif_0653,ems.study_cfgs_agb0_aif_2024,ems.subject_0653,90.0,10.0
__import__.planning_aif_0654,ems.study_cfgs_agb0_aif_2024,ems.subject_0654,90.0,10.0
__import__.planning_aif_0655,ems.study_cfgs_agb0_aif_2024,ems.subject_0655,100.0,0.0
__import__.planning_aif_0656,ems.study_cfgs_agb0_aif_2024,ems.subject_0656,100.0,0.0
__import__.planning_aif_C076,ems.study_cfgs_agb0_aif_2024,ems.subject_C076,100.0,0.0
__import__.planning_aif_0657,ems.study_cfgs_agb0_aif_2024,ems.subject_0657,100.0,0.0
__import__.planning_aif_0179,ems.study_cfgs_agb0_aif_2024,ems.subject_0179,100.0,0.0
__import__.planning_aif_1665,ems.study_cfgs_agb0_aif_2024,ems.subject_1665,100.0,0.0
__import__.planning_aif_1708,ems.study_cfgs_agb0_aif_2024,ems.subject_1708,100.0,0.0
__import__.planning_aif_1709,ems.study_cfgs_agb0_aif_2024,ems.subject_1709,100.0,0.0
__import__.planning_aif_1710,ems.study_cfgs_agb0_aif_2024,ems.subject_1710,100.0,0.0
