id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_asix_0369,ems.study_cfgs_ica0_asix_2024,ems.subject_0369,90.0,10.0
__import__.planning_asix_0370,ems.study_cfgs_ica0_asix_2024,ems.subject_0370,90.0,10.0
__import__.planning_asix_0371,ems.study_cfgs_ica0_asix_2024,ems.subject_0371,90.0,10.0
__import__.planning_asix_0372,ems.study_cfgs_ica0_asix_2024,ems.subject_0372,90.0,10.0
__import__.planning_asix_0374,ems.study_cfgs_ica0_asix_2024,ems.subject_0374,90.0,10.0
__import__.planning_asix_0375,ems.study_cfgs_ica0_asix_2024,ems.subject_0375,90.0,10.0
__import__.planning_asix_0376,ems.study_cfgs_ica0_asix_2024,ems.subject_0376,90.0,10.0
__import__.planning_asix_0377,ems.study_cfgs_ica0_asix_2024,ems.subject_0377,90.0,10.0
__import__.planning_asix_0378,ems.study_cfgs_ica0_asix_2024,ems.subject_0378,90.0,10.0
__import__.planning_asix_0379,ems.study_cfgs_ica0_asix_2024,ems.subject_0379,100.0,0.0
__import__.planning_asix_0373,ems.study_cfgs_ica0_asix_2024,ems.subject_0373,90.0,10.0
__import__.planning_asix_0179,ems.study_cfgs_ica0_asix_2024,ems.subject_0179,100.0,0.0
__import__.planning_asix_1665,ems.study_cfgs_ica0_asix_2024,ems.subject_1665,100.0,0.0
__import__.planning_asix_1708,ems.study_cfgs_ica0_asix_2024,ems.subject_1708,100.0,0.0
__import__.planning_asix_1709,ems.study_cfgs_ica0_asix_2024,ems.subject_1709,100.0,0.0
__import__.planning_asix_1710,ems.study_cfgs_ica0_asix_2024,ems.subject_1710,100.0,0.0
