id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_dam_0483,ems.study_cfgs_icb0_dam_2024,ems.subject_0483,90.0,10.0
__import__.planning_dam_0484,ems.study_cfgs_icb0_dam_2024,ems.subject_0484,90.0,10.0
__import__.planning_dam_0485,ems.study_cfgs_icb0_dam_2024,ems.subject_0485,90.0,10.0
__import__.planning_dam_0486,ems.study_cfgs_icb0_dam_2024,ems.subject_0486,90.0,10.0
__import__.planning_dam_0487,ems.study_cfgs_icb0_dam_2024,ems.subject_0487,90.0,10.0
__import__.planning_dam_0488,ems.study_cfgs_icb0_dam_2024,ems.subject_0488,90.0,10.0
__import__.planning_dam_0489,ems.study_cfgs_icb0_dam_2024,ems.subject_0489,90.0,10.0
__import__.planning_dam_0490,ems.study_cfgs_icb0_dam_2024,ems.subject_0490,90.0,10.0
__import__.planning_dam_0491,ems.study_cfgs_icb0_dam_2024,ems.subject_0491,90.0,10.0
__import__.planning_dam_0492,ems.study_cfgs_icb0_dam_2024,ems.subject_0492,100.0,0.0
__import__.planning_dam_0373,ems.study_cfgs_icb0_dam_2024,ems.subject_0373,90.0,10.0
__import__.planning_dam_0179,ems.study_cfgs_icb0_dam_2024,ems.subject_0179,100.0,0.0
__import__.planning_dam_1665,ems.study_cfgs_icb0_dam_2024,ems.subject_1665,100.0,0.0
__import__.planning_dam_1708,ems.study_cfgs_icb0_dam_2024,ems.subject_1708,100.0,0.0
__import__.planning_dam_1709,ems.study_cfgs_icb0_dam_2024,ems.subject_1709,100.0,0.0
__import__.planning_dam_1710,ems.study_cfgs_icb0_dam_2024,ems.subject_1710,100.0,0.0
