id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_daw_0612,ems.study_cfgs_icc0_daw_2024,ems.subject_0612,90.0,10.0
__import__.planning_daw_0613,ems.study_cfgs_icc0_daw_2024,ems.subject_0613,90.0,10.0
__import__.planning_daw_0614,ems.study_cfgs_icc0_daw_2024,ems.subject_0614,90.0,10.0
__import__.planning_daw_0615,ems.study_cfgs_icc0_daw_2024,ems.subject_0615,90.0,10.0
__import__.planning_daw_0616,ems.study_cfgs_icc0_daw_2024,ems.subject_0616,100.0,0.0
__import__.planning_daw_0483,ems.study_cfgs_icc0_daw_2024,ems.subject_0483,90.0,10.0
__import__.planning_daw_0484,ems.study_cfgs_icc0_daw_2024,ems.subject_0484,90.0,10.0
__import__.planning_daw_0485,ems.study_cfgs_icc0_daw_2024,ems.subject_0485,90.0,10.0
__import__.planning_daw_0487,ems.study_cfgs_icc0_daw_2024,ems.subject_0487,90.0,10.0
__import__.planning_daw_0373,ems.study_cfgs_icc0_daw_2024,ems.subject_0373,90.0,10.0
__import__.planning_daw_0179,ems.study_cfgs_icc0_daw_2024,ems.subject_0179,100.0,0.0
__import__.planning_daw_1665,ems.study_cfgs_icc0_daw_2024,ems.subject_1665,100.0,0.0
__import__.planning_daw_1708,ems.study_cfgs_icc0_daw_2024,ems.subject_1708,100.0,0.0
__import__.planning_daw_1709,ems.study_cfgs_icc0_daw_2024,ems.subject_1709,100.0,0.0
__import__.planning_daw_1710,ems.study_cfgs_icc0_daw_2024,ems.subject_1710,100.0,0.0
