id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_ga_0437,ems.study_cfgm_ag10_ga_2024,ems.subject_0437,90.0,10.0
__import__.planning_ga_0438,ems.study_cfgm_ag10_ga_2024,ems.subject_0438,90.0,10.0
__import__.planning_ga_0439,ems.study_cfgm_ag10_ga_2024,ems.subject_0439,100.0,0.0
__import__.planning_ga_0440,ems.study_cfgm_ag10_ga_2024,ems.subject_0440,90.0,10.0
__import__.planning_ga_0441,ems.study_cfgm_ag10_ga_2024,ems.subject_0441,90.0,10.0
__import__.planning_ga_0442,ems.study_cfgm_ag10_ga_2024,ems.subject_0442,90.0,10.0
__import__.planning_ga_0443,ems.study_cfgm_ag10_ga_2024,ems.subject_0443,90.0,10.0
__import__.planning_ga_0446,ems.study_cfgm_ag10_ga_2024,ems.subject_0446,100.0,0.0
__import__.planning_ga_0448,ems.study_cfgm_ag10_ga_2024,ems.subject_0448,90.0,10.0
__import__.planning_ga_0156,ems.study_cfgm_ag10_ga_2024,ems.subject_0156,100.0,0.0
__import__.planning_ga_1664,ems.study_cfgm_ag10_ga_2024,ems.subject_1664,100.0,0.0
__import__.planning_ga_1713,ems.study_cfgm_ag10_ga_2024,ems.subject_1713,100.0,0.0
__import__.planning_ga_1708,ems.study_cfgm_ag10_ga_2024,ems.subject_1708,100.0,0.0
__import__.planning_ga_1709,ems.study_cfgm_ag10_ga_2024,ems.subject_1709,100.0,0.0
__import__.planning_ga_1710,ems.study_cfgm_ag10_ga_2024,ems.subject_1710,100.0,0.0
