id,study_id/id,subject_id/id,internal_ponderation,external_ponderation
__import__.planning_smx_0221,ems.study_cfgm_ic10_smx_2024,ems.subject_0221,90.0,10.0
__import__.planning_smx_0222,ems.study_cfgm_ic10_smx_2024,ems.subject_0222,90.0,10.0
__import__.planning_smx_0223,ems.study_cfgm_ic10_smx_2024,ems.subject_0223,90.0,10.0
__import__.planning_smx_0224,ems.study_cfgm_ic10_smx_2024,ems.subject_0224,90.0,10.0
__import__.planning_smx_0225,ems.study_cfgm_ic10_smx_2024,ems.subject_0225,90.0,10.0
__import__.planning_smx_0226,ems.study_cfgm_ic10_smx_2024,ems.subject_0226,90.0,10.0
__import__.planning_smx_0227,ems.study_cfgm_ic10_smx_2024,ems.subject_0227,90.0,10.0
__import__.planning_smx_0228,ems.study_cfgm_ic10_smx_2024,ems.subject_0228,90.0,10.0
__import__.planning_smx_0156,ems.study_cfgm_ic10_smx_2024,ems.subject_0156,100.0,0.0
__import__.planning_smx_1664,ems.study_cfgm_ic10_smx_2024,ems.subject_1664,100.0,0.0
__import__.planning_smx_1708,ems.study_cfgm_ic10_smx_2024,ems.subject_1708,100.0,0.0
__import__.planning_smx_1709,ems.study_cfgm_ic10_smx_2024,ems.subject_1709,100.0,0.0
__import__.planning_smx_1710,ems.study_cfgm_ic10_smx_2024,ems.subject_1710,100.0,0.0
__import__.planning_smx_1713,ems.study_cfgm_ic10_smx_2024,ems.subject_1713,100.0,0.0
