id,planning_id/id,outcome_id/id,ponderation
__import__.planning_ad_0647_outcome_1,__import__.planning_ad_0647,ems.outcome_0647_01RA,33.34
__import__.planning_ad_0647_outcome_2,__import__.planning_ad_0647,ems.outcome_0647_02RA,22.22
__import__.planning_ad_0647_outcome_3,__import__.planning_ad_0647,ems.outcome_0647_03RA,11.11
__import__.planning_ad_0647_outcome_4,__import__.planning_ad_0647,ems.outcome_0647_04RA,11.11
__import__.planning_ad_0647_outcome_5,__import__.planning_ad_0647,ems.outcome_0647_05RA,22.22
__import__.planning_ad_0648_outcome_1,__import__.planning_ad_0648,ems.outcome_0648_01RA,20.0
__import__.planning_ad_0648_outcome_2,__import__.planning_ad_0648,ems.outcome_0648_02RA,20.0
__import__.planning_ad_0648_outcome_3,__import__.planning_ad_0648,ems.outcome_0648_03RA,20.0
__import__.planning_ad_0648_outcome_4,__import__.planning_ad_0648,ems.outcome_0648_04RA,20.0
__import__.planning_ad_0648_outcome_5,__import__.planning_ad_0648,ems.outcome_0648_05RA,20.0
__import__.planning_ad_0649_outcome_1,__import__.planning_ad_0649,ems.outcome_0649_01RA,5.0
__import__.planning_ad_0649_outcome_2,__import__.planning_ad_0649,ems.outcome_0649_02RA,5.0
__import__.planning_ad_0649_outcome_3,__import__.planning_ad_0649,ems.outcome_0649_03RA,5.0
__import__.planning_ad_0649_outcome_4,__import__.planning_ad_0649,ems.outcome_0649_04RA,30.0
__import__.planning_ad_0649_outcome_5,__import__.planning_ad_0649,ems.outcome_0649_05RA,30.0
__import__.planning_ad_0649_outcome_6,__import__.planning_ad_0649,ems.outcome_0649_06RA,10.0
__import__.planning_ad_0649_outcome_7,__import__.planning_ad_0649,ems.outcome_0649_07RA,5.0
__import__.planning_ad_0649_outcome_8,__import__.planning_ad_0649,ems.outcome_0649_08RA,5.0
__import__.planning_ad_0649_outcome_9,__import__.planning_ad_0649,ems.outcome_0649_09RA,5.0
__import__.planning_ad_0650_outcome_1,__import__.planning_ad_0650,ems.outcome_0650_01RA,11.11
__import__.planning_ad_0650_outcome_2,__import__.planning_ad_0650,ems.outcome_0650_02RA,11.11
__import__.planning_ad_0650_outcome_3,__import__.planning_ad_0650,ems.outcome_0650_03RA,13.33
__import__.planning_ad_0650_outcome_4,__import__.planning_ad_0650,ems.outcome_0650_04RA,13.33
__import__.planning_ad_0650_outcome_5,__import__.planning_ad_0650,ems.outcome_0650_05RA,22.23
__import__.planning_ad_0650_outcome_6,__import__.planning_ad_0650,ems.outcome_0650_06RA,22.22
__import__.planning_ad_0650_outcome_7,__import__.planning_ad_0650,ems.outcome_0650_07RA,6.67
__import__.planning_ad_0651_outcome_1,__import__.planning_ad_0651,ems.outcome_0651_01RA,5.0
__import__.planning_ad_0651_outcome_2,__import__.planning_ad_0651,ems.outcome_0651_02RA,25.0
__import__.planning_ad_0651_outcome_3,__import__.planning_ad_0651,ems.outcome_0651_03RA,25.0
__import__.planning_ad_0651_outcome_4,__import__.planning_ad_0651,ems.outcome_0651_04RA,15.0
__import__.planning_ad_0651_outcome_5,__import__.planning_ad_0651,ems.outcome_0651_05RA,20.0
__import__.planning_ad_0651_outcome_6,__import__.planning_ad_0651,ems.outcome_0651_06RA,5.0
__import__.planning_ad_0651_outcome_7,__import__.planning_ad_0651,ems.outcome_0651_07RA,5.0
__import__.planning_ad_0661_outcome_1,__import__.planning_ad_0661,ems.outcome_0661_01RA,16.65
__import__.planning_ad_0661_outcome_2,__import__.planning_ad_0661,ems.outcome_0661_02RA,16.67
__import__.planning_ad_0661_outcome_3,__import__.planning_ad_0661,ems.outcome_0661_03RA,16.67
__import__.planning_ad_0661_outcome_4,__import__.planning_ad_0661,ems.outcome_0661_04RA,16.67
__import__.planning_ad_0661_outcome_5,__import__.planning_ad_0661,ems.outcome_0661_05RA,16.67
__import__.planning_ad_0661_outcome_6,__import__.planning_ad_0661,ems.outcome_0661_06RA,16.67
__import__.planning_ad_0662_outcome_1,__import__.planning_ad_0662,ems.outcome_0662_01RA,20.0
__import__.planning_ad_0662_outcome_2,__import__.planning_ad_0662,ems.outcome_0662_02RA,20.0
__import__.planning_ad_0662_outcome_3,__import__.planning_ad_0662,ems.outcome_0662_03RA,20.0
__import__.planning_ad_0662_outcome_4,__import__.planning_ad_0662,ems.outcome_0662_04RA,20.0
__import__.planning_ad_0662_outcome_5,__import__.planning_ad_0662,ems.outcome_0662_05RA,20.0
__import__.planning_ad_0663_outcome_1,__import__.planning_ad_0663,ems.outcome_0663_01RA,20.0
__import__.planning_ad_0663_outcome_2,__import__.planning_ad_0663,ems.outcome_0663_02RA,20.0
__import__.planning_ad_0663_outcome_3,__import__.planning_ad_0663,ems.outcome_0663_03RA,20.0
__import__.planning_ad_0663_outcome_4,__import__.planning_ad_0663,ems.outcome_0663_04RA,20.0
__import__.planning_ad_0663_outcome_5,__import__.planning_ad_0663,ems.outcome_0663_05RA,20.0
__import__.planning_ad_0180_outcome_1,__import__.planning_ad_0180,ems.outcome_0180_01RA,20.0
__import__.planning_ad_0180_outcome_2,__import__.planning_ad_0180,ems.outcome_0180_02RA,20.0
__import__.planning_ad_0180_outcome_3,__import__.planning_ad_0180,ems.outcome_0180_03RA,20.0
__import__.planning_ad_0180_outcome_4,__import__.planning_ad_0180,ems.outcome_0180_04RA,20.0
