id,planning_id/id,outcome_id/id,ponderation
__import__.planning_aif_0647_outcome_1,__import__.planning_aif_0647,ems.outcome_0647_01RA,33.34
__import__.planning_aif_0647_outcome_2,__import__.planning_aif_0647,ems.outcome_0647_02RA,22.22
__import__.planning_aif_0647_outcome_3,__import__.planning_aif_0647,ems.outcome_0647_03RA,11.11
__import__.planning_aif_0647_outcome_4,__import__.planning_aif_0647,ems.outcome_0647_04RA,11.11
__import__.planning_aif_0647_outcome_5,__import__.planning_aif_0647,ems.outcome_0647_05RA,22.22
__import__.planning_aif_0648_outcome_1,__import__.planning_aif_0648,ems.outcome_0648_01RA,20.0
__import__.planning_aif_0648_outcome_2,__import__.planning_aif_0648,ems.outcome_0648_02RA,20.0
__import__.planning_aif_0648_outcome_3,__import__.planning_aif_0648,ems.outcome_0648_03RA,20.0
__import__.planning_aif_0648_outcome_4,__import__.planning_aif_0648,ems.outcome_0648_04RA,20.0
__import__.planning_aif_0648_outcome_5,__import__.planning_aif_0648,ems.outcome_0648_05RA,20.0
__import__.planning_aif_0649_outcome_1,__import__.planning_aif_0649,ems.outcome_0649_01RA,5.0
__import__.planning_aif_0649_outcome_2,__import__.planning_aif_0649,ems.outcome_0649_02RA,5.0
__import__.planning_aif_0649_outcome_3,__import__.planning_aif_0649,ems.outcome_0649_03RA,5.0
__import__.planning_aif_0649_outcome_4,__import__.planning_aif_0649,ems.outcome_0649_04RA,30.0
__import__.planning_aif_0649_outcome_5,__import__.planning_aif_0649,ems.outcome_0649_05RA,30.0
__import__.planning_aif_0649_outcome_6,__import__.planning_aif_0649,ems.outcome_0649_06RA,10.0
__import__.planning_aif_0649_outcome_7,__import__.planning_aif_0649,ems.outcome_0649_07RA,5.0
__import__.planning_aif_0649_outcome_8,__import__.planning_aif_0649,ems.outcome_0649_08RA,5.0
__import__.planning_aif_0649_outcome_9,__import__.planning_aif_0649,ems.outcome_0649_09RA,5.0
__import__.planning_aif_0650_outcome_1,__import__.planning_aif_0650,ems.outcome_0650_01RA,22.23
__import__.planning_aif_0650_outcome_2,__import__.planning_aif_0650,ems.outcome_0650_02RA,11.11
__import__.planning_aif_0650_outcome_3,__import__.planning_aif_0650,ems.outcome_0650_03RA,22.22
__import__.planning_aif_0650_outcome_4,__import__.planning_aif_0650,ems.outcome_0650_04RA,11.11
__import__.planning_aif_0650_outcome_5,__import__.planning_aif_0650,ems.outcome_0650_05RA,11.11
__import__.planning_aif_0650_outcome_6,__import__.planning_aif_0650,ems.outcome_0650_06RA,11.11
__import__.planning_aif_0650_outcome_7,__import__.planning_aif_0650,ems.outcome_0650_07RA,11.11
__import__.planning_aif_0651_outcome_1,__import__.planning_aif_0651,ems.outcome_0651_01RA,22.23
__import__.planning_aif_0651_outcome_2,__import__.planning_aif_0651,ems.outcome_0651_02RA,11.11
__import__.planning_aif_0651_outcome_3,__import__.planning_aif_0651,ems.outcome_0651_03RA,22.22
__import__.planning_aif_0651_outcome_4,__import__.planning_aif_0651,ems.outcome_0651_04RA,11.11
__import__.planning_aif_0651_outcome_5,__import__.planning_aif_0651,ems.outcome_0651_05RA,11.11
__import__.planning_aif_0651_outcome_6,__import__.planning_aif_0651,ems.outcome_0651_06RA,11.11
__import__.planning_aif_0651_outcome_7,__import__.planning_aif_0651,ems.outcome_0651_07RA,11.11
__import__.planning_aif_0652_outcome_1,__import__.planning_aif_0652,ems.outcome_0652_01RA,25.0
__import__.planning_aif_0652_outcome_2,__import__.planning_aif_0652,ems.outcome_0652_02RA,10.0
__import__.planning_aif_0652_outcome_3,__import__.planning_aif_0652,ems.outcome_0652_03RA,5.0
__import__.planning_aif_0652_outcome_4,__import__.planning_aif_0652,ems.outcome_0652_04RA,60.0
__import__.planning_aif_0653_outcome_1,__import__.planning_aif_0653,ems.outcome_0653_01RA,17.0
__import__.planning_aif_0653_outcome_2,__import__.planning_aif_0653,ems.outcome_0653_02RA,15.0
__import__.planning_aif_0653_outcome_3,__import__.planning_aif_0653,ems.outcome_0653_03RA,18.0
__import__.planning_aif_0653_outcome_4,__import__.planning_aif_0653,ems.outcome_0653_04RA,10.0
__import__.planning_aif_0653_outcome_5,__import__.planning_aif_0653,ems.outcome_0653_05RA,32.0
__import__.planning_aif_0653_outcome_6,__import__.planning_aif_0653,ems.outcome_0653_06RA,8.0
__import__.planning_aif_0654_outcome_1,__import__.planning_aif_0654,ems.outcome_0654_01RA,25.01
__import__.planning_aif_0654_outcome_2,__import__.planning_aif_0654,ems.outcome_0654_02RA,25.0
__import__.planning_aif_0654_outcome_3,__import__.planning_aif_0654,ems.outcome_0654_03RA,25.0
__import__.planning_aif_0654_outcome_4,__import__.planning_aif_0654,ems.outcome_0654_04RA,8.33
__import__.planning_aif_0654_outcome_5,__import__.planning_aif_0654,ems.outcome_0654_05RA,8.33
__import__.planning_aif_0654_outcome_6,__import__.planning_aif_0654,ems.outcome_0654_06RA,8.33
__import__.planning_aif_0655_outcome_1,__import__.planning_aif_0655,ems.outcome_0655_01RA,34.0
__import__.planning_aif_0655_outcome_2,__import__.planning_aif_0655,ems.outcome_0655_02RA,11.0
__import__.planning_aif_0655_outcome_3,__import__.planning_aif_0655,ems.outcome_0655_03RA,11.0
__import__.planning_aif_0655_outcome_4,__import__.planning_aif_0655,ems.outcome_0655_04RA,11.0
__import__.planning_aif_0655_outcome_5,__import__.planning_aif_0655,ems.outcome_0655_05RA,33.0
__import__.planning_aif_0656_outcome_1,__import__.planning_aif_0656,ems.outcome_0656_01RA,5.0
__import__.planning_aif_0656_outcome_2,__import__.planning_aif_0656,ems.outcome_0656_02RA,10.0
__import__.planning_aif_0656_outcome_3,__import__.planning_aif_0656,ems.outcome_0656_03RA,10.0
__import__.planning_aif_0656_outcome_4,__import__.planning_aif_0656,ems.outcome_0656_04RA,35.0
__import__.planning_aif_0656_outcome_5,__import__.planning_aif_0656,ems.outcome_0656_05RA,10.0
__import__.planning_aif_0656_outcome_6,__import__.planning_aif_0656,ems.outcome_0656_06RA,30.0
__import__.planning_aif_C076_outcome_1,__import__.planning_aif_C076,ems.outcome_C076_01RA,25.0
__import__.planning_aif_C076_outcome_2,__import__.planning_aif_C076,ems.outcome_C076_02RA,25.0
__import__.planning_aif_C076_outcome_3,__import__.planning_aif_C076,ems.outcome_C076_03RA,25.0
__import__.planning_aif_C076_outcome_4,__import__.planning_aif_C076,ems.outcome_C076_04RA,25.0
__import__.planning_aif_0657_outcome_1,__import__.planning_aif_0657,ems.outcome_0657_01RA,25.0
__import__.planning_aif_0657_outcome_2,__import__.planning_aif_0657,ems.outcome_0657_02RA,25.0
__import__.planning_aif_0657_outcome_3,__import__.planning_aif_0657,ems.outcome_0657_03RA,25.0
__import__.planning_aif_0657_outcome_4,__import__.planning_aif_0657,ems.outcome_0657_04RA,25.0
__import__.planning_aif_0179_outcome_1,__import__.planning_aif_0179,ems.outcome_0179_01RA,20.0
__import__.planning_aif_0179_outcome_2,__import__.planning_aif_0179,ems.outcome_0179_02RA,20.0
__import__.planning_aif_0179_outcome_3,__import__.planning_aif_0179,ems.outcome_0179_03RA,20.0
__import__.planning_aif_0179_outcome_4,__import__.planning_aif_0179,ems.outcome_0179_04RA,20.0
__import__.planning_aif_0179_outcome_5,__import__.planning_aif_0179,ems.outcome_0179_05RA,20.0
__import__.planning_aif_1665_outcome_1,__import__.planning_aif_1665,ems.outcome_1665_01RA,18.0
__import__.planning_aif_1665_outcome_2,__import__.planning_aif_1665,ems.outcome_1665_02RA,15.0
__import__.planning_aif_1665_outcome_3,__import__.planning_aif_1665,ems.outcome_1665_03RA,15.0
__import__.planning_aif_1665_outcome_4,__import__.planning_aif_1665,ems.outcome_1665_04RA,18.0
__import__.planning_aif_1665_outcome_5,__import__.planning_aif_1665,ems.outcome_1665_05RA,34.0
__import__.planning_aif_1708_outcome_1,__import__.planning_aif_1708,ems.outcome_1708_01RA,16.65
__import__.planning_aif_1708_outcome_2,__import__.planning_aif_1708,ems.outcome_1708_02RA,16.67
__import__.planning_aif_1708_outcome_3,__import__.planning_aif_1708,ems.outcome_1708_03RA,16.67
__import__.planning_aif_1708_outcome_4,__import__.planning_aif_1708,ems.outcome_1708_04RA,16.67
__import__.planning_aif_1708_outcome_5,__import__.planning_aif_1708,ems.outcome_1708_05RA,16.67
__import__.planning_aif_1708_outcome_6,__import__.planning_aif_1708,ems.outcome_1708_06RA,16.67
__import__.planning_aif_1709_outcome_1,__import__.planning_aif_1709,ems.outcome_1709_01RA,10.0
__import__.planning_aif_1709_outcome_2,__import__.planning_aif_1709,ems.outcome_1709_02RA,30.0
__import__.planning_aif_1709_outcome_3,__import__.planning_aif_1709,ems.outcome_1709_03RA,36.0
__import__.planning_aif_1709_outcome_4,__import__.planning_aif_1709,ems.outcome_1709_04RA,10.0
__import__.planning_aif_1709_outcome_5,__import__.planning_aif_1709,ems.outcome_1709_05RA,14.0
__import__.planning_aif_1710_outcome_1,__import__.planning_aif_1710,ems.outcome_1710_01RA,20.0
__import__.planning_aif_1710_outcome_2,__import__.planning_aif_1710,ems.outcome_1710_02RA,20.0
__import__.planning_aif_1710_outcome_3,__import__.planning_aif_1710,ems.outcome_1710_03RA,20.0
__import__.planning_aif_1710_outcome_4,__import__.planning_aif_1710,ems.outcome_1710_04RA,20.0
__import__.planning_aif_1710_outcome_5,__import__.planning_aif_1710,ems.outcome_1710_05RA,20.0
