id,planning_id/id,outcome_id/id,ponderation
__import__.planning_asix_0369_outcome_1,__import__.planning_asix_0369,ems.outcome_0369_01RA,12.5
__import__.planning_asix_0369_outcome_2,__import__.planning_asix_0369,ems.outcome_0369_02RA,12.5
__import__.planning_asix_0369_outcome_3,__import__.planning_asix_0369,ems.outcome_0369_03RA,12.5
__import__.planning_asix_0369_outcome_4,__import__.planning_asix_0369,ems.outcome_0369_04RA,12.5
__import__.planning_asix_0369_outcome_5,__import__.planning_asix_0369,ems.outcome_0369_05RA,12.5
__import__.planning_asix_0369_outcome_6,__import__.planning_asix_0369,ems.outcome_0369_06RA,12.5
__import__.planning_asix_0369_outcome_7,__import__.planning_asix_0369,ems.outcome_0369_07RA,12.5
__import__.planning_asix_0369_outcome_8,__import__.planning_asix_0369,ems.outcome_0369_08RA,12.5
__import__.planning_asix_0370_outcome_1,__import__.planning_asix_0370,ems.outcome_0370_01RA,15.0
__import__.planning_asix_0370_outcome_2,__import__.planning_asix_0370,ems.outcome_0370_02RA,15.0
__import__.planning_asix_0370_outcome_3,__import__.planning_asix_0370,ems.outcome_0370_03RA,15.0
__import__.planning_asix_0370_outcome_4,__import__.planning_asix_0370,ems.outcome_0370_04RA,15.0
__import__.planning_asix_0370_outcome_5,__import__.planning_asix_0370,ems.outcome_0370_05RA,15.0
__import__.planning_asix_0370_outcome_6,__import__.planning_asix_0370,ems.outcome_0370_06RA,15.0
__import__.planning_asix_0370_outcome_7,__import__.planning_asix_0370,ems.outcome_0370_07RA,10.0
__import__.planning_asix_0371_outcome_1,__import__.planning_asix_0371,ems.outcome_0371_01RA,30.0
__import__.planning_asix_0371_outcome_2,__import__.planning_asix_0371,ems.outcome_0371_02RA,15.0
__import__.planning_asix_0371_outcome_3,__import__.planning_asix_0371,ems.outcome_0371_03RA,15.0
__import__.planning_asix_0371_outcome_4,__import__.planning_asix_0371,ems.outcome_0371_04RA,20.0
__import__.planning_asix_0371_outcome_5,__import__.planning_asix_0371,ems.outcome_0371_05RA,20.0
__import__.planning_asix_0372_outcome_1,__import__.planning_asix_0372,ems.outcome_0372_01RA,5.0
__import__.planning_asix_0372_outcome_2,__import__.planning_asix_0372,ems.outcome_0372_02RA,20.0
__import__.planning_asix_0372_outcome_3,__import__.planning_asix_0372,ems.outcome_0372_03RA,15.0
__import__.planning_asix_0372_outcome_4,__import__.planning_asix_0372,ems.outcome_0372_04RA,20.0
__import__.planning_asix_0372_outcome_5,__import__.planning_asix_0372,ems.outcome_0372_05RA,20.0
__import__.planning_asix_0372_outcome_6,__import__.planning_asix_0372,ems.outcome_0372_06RA,15.0
__import__.planning_asix_0372_outcome_7,__import__.planning_asix_0372,ems.outcome_0372_07RA,5.0
__import__.planning_asix_0374_outcome_1,__import__.planning_asix_0374,ems.outcome_0374_01RA,15.0
__import__.planning_asix_0374_outcome_2,__import__.planning_asix_0374,ems.outcome_0374_02RA,15.0
__import__.planning_asix_0374_outcome_3,__import__.planning_asix_0374,ems.outcome_0374_03RA,15.0
__import__.planning_asix_0374_outcome_4,__import__.planning_asix_0374,ems.outcome_0374_04RA,15.0
__import__.planning_asix_0374_outcome_5,__import__.planning_asix_0374,ems.outcome_0374_05RA,15.0
__import__.planning_asix_0374_outcome_6,__import__.planning_asix_0374,ems.outcome_0374_06RA,15.0
__import__.planning_asix_0374_outcome_7,__import__.planning_asix_0374,ems.outcome_0374_07RA,10.0
__import__.planning_asix_0375_outcome_1,__import__.planning_asix_0375,ems.outcome_0375_01RA,12.5
