id,planning_id/id,outcome_id/id,ponderation
__import__.planning_dam_0483_outcome_1,__import__.planning_dam_0483,ems.outcome_0483_01RA,10.0
__import__.planning_dam_0483_outcome_2,__import__.planning_dam_0483,ems.outcome_0483_02RA,10.0
__import__.planning_dam_0483_outcome_3,__import__.planning_dam_0483,ems.outcome_0483_03RA,10.0
__import__.planning_dam_0483_outcome_4,__import__.planning_dam_0483,ems.outcome_0483_04RA,10.0
__import__.planning_dam_0483_outcome_5,__import__.planning_dam_0483,ems.outcome_0483_05RA,20.0
__import__.planning_dam_0483_outcome_6,__import__.planning_dam_0483,ems.outcome_0483_06RA,20.0
__import__.planning_dam_0483_outcome_7,__import__.planning_dam_0483,ems.outcome_0483_07RA,20.0
__import__.planning_dam_0484_outcome_1,__import__.planning_dam_0484,ems.outcome_0484_01RA,5.0
__import__.planning_dam_0484_outcome_2,__import__.planning_dam_0484,ems.outcome_0484_02RA,20.0
__import__.planning_dam_0484_outcome_3,__import__.planning_dam_0484,ems.outcome_0484_03RA,15.0
__import__.planning_dam_0484_outcome_4,__import__.planning_dam_0484,ems.outcome_0484_04RA,20.0
__import__.planning_dam_0484_outcome_5,__import__.planning_dam_0484,ems.outcome_0484_05RA,20.0
__import__.planning_dam_0484_outcome_6,__import__.planning_dam_0484,ems.outcome_0484_06RA,15.0
__import__.planning_dam_0484_outcome_7,__import__.planning_dam_0484,ems.outcome_0484_07RA,5.0
__import__.planning_dam_0485_outcome_1,__import__.planning_dam_0485,ems.outcome_0485_01RA,11.12
__import__.planning_dam_0485_outcome_2,__import__.planning_dam_0485,ems.outcome_0485_02RA,11.11
__import__.planning_dam_0485_outcome_3,__import__.planning_dam_0485,ems.outcome_0485_03RA,11.11
__import__.planning_dam_0485_outcome_4,__import__.planning_dam_0485,ems.outcome_0485_04RA,11.11
__import__.planning_dam_0485_outcome_5,__import__.planning_dam_0485,ems.outcome_0485_05RA,11.11
__import__.planning_dam_0485_outcome_6,__import__.planning_dam_0485,ems.outcome_0485_06RA,11.11
__import__.planning_dam_0485_outcome_7,__import__.planning_dam_0485,ems.outcome_0485_07RA,11.11
__import__.planning_dam_0485_outcome_8,__import__.planning_dam_0485,ems.outcome_0485_08RA,11.11
__import__.planning_dam_0485_outcome_9,__import__.planning_dam_0485,ems.outcome_0485_09RA,11.11
__import__.planning_dam_0486_outcome_1,__import__.planning_dam_0486,ems.outcome_0486_01RA,16.65
__import__.planning_dam_0486_outcome_2,__import__.planning_dam_0486,ems.outcome_0486_02RA,16.67
__import__.planning_dam_0486_outcome_3,__import__.planning_dam_0486,ems.outcome_0486_03RA,16.67
__import__.planning_dam_0486_outcome_4,__import__.planning_dam_0486,ems.outcome_0486_04RA,16.67
__import__.planning_dam_0486_outcome_5,__import__.planning_dam_0486,ems.outcome_0486_05RA,16.67
__import__.planning_dam_0486_outcome_6,__import__.planning_dam_0486,ems.outcome_0486_06RA,16.67
__import__.planning_dam_0487_outcome_1,__import__.planning_dam_0487,ems.outcome_0487_01RA,16.65
__import__.planning_dam_0487_outcome_2,__import__.planning_dam_0487,ems.outcome_0487_02RA,16.67
__import__.planning_dam_0487_outcome_3,__import__.planning_dam_0487,ems.outcome_0487_03RA,16.67
__import__.planning_dam_0487_outcome_4,__import__.planning_dam_0487,ems.outcome_0487_04RA,16.67
__import__.planning_dam_0487_outcome_5,__import__.planning_dam_0487,ems.outcome_0487_05RA,16.67
__import__.planning_dam_0487_outcome_6,__import__.planning_dam_0487,ems.outcome_0487_06RA,16.67
__import__.planning_dam_0488_outcome_1,__import__.planning_dam_0488,ems.outcome_0488_01RA,11.11
__import__.planning_dam_0488_outcome_2,__import__.planning_dam_0488,ems.outcome_0488_02RA,2.22
__import__.planning_dam_0488_outcome_3,__import__.planning_dam_0488,ems.outcome_0488_03RA,44.45
__import__.planning_dam_0488_outcome_4,__import__.planning_dam_0488,ems.outcome_0488_04RA,22.22
__import__.planning_dam_0488_outcome_5,__import__.planning_dam_0488,ems.outcome_0488_05RA,11.11
__import__.planning_dam_0488_outcome_6,__import__.planning_dam_0488,ems.outcome_0488_06RA,2.22
__import__.planning_dam_0488_outcome_7,__import__.planning_dam_0488,ems.outcome_0488_07RA,1.11
__import__.planning_dam_0488_outcome_8,__import__.planning_dam_0488,ems.outcome_0488_08RA,5.56
__import__.planning_dam_0489_outcome_1,__import__.planning_dam_0489,ems.outcome_0489_01RA,20.0
__import__.planning_dam_0489_outcome_2,__import__.planning_dam_0489,ems.outcome_0489_02RA,20.0
__import__.planning_dam_0489_outcome_3,__import__.planning_dam_0489,ems.outcome_0489_03RA,20.0
__import__.planning_dam_0489_outcome_4,__import__.planning_dam_0489,ems.outcome_0489_04RA,20.0
__import__.planning_dam_0489_outcome_5,__import__.planning_dam_0489,ems.outcome_0489_05RA,20.0
__import__.planning_dam_0490_outcome_1,__import__.planning_dam_0490,ems.outcome_0490_01RA,20.0
__import__.planning_dam_0490_outcome_2,__import__.planning_dam_0490,ems.outcome_0490_02RA,20.0
__import__.planning_dam_0490_outcome_3,__import__.planning_dam_0490,ems.outcome_0490_03RA,20.0
__import__.planning_dam_0490_outcome_4,__import__.planning_dam_0490,ems.outcome_0490_04RA,20.0
__import__.planning_dam_0490_outcome_5,__import__.planning_dam_0490,ems.outcome_0490_05RA,20.0
__import__.planning_dam_0491_outcome_1,__import__.planning_dam_0491,ems.outcome_0491_01RA,20.0
__import__.planning_dam_0491_outcome_2,__import__.planning_dam_0491,ems.outcome_0491_02RA,20.0
__import__.planning_dam_0491_outcome_3,__import__.planning_dam_0491,ems.outcome_0491_03RA,20.0
__import__.planning_dam_0491_outcome_4,__import__.planning_dam_0491,ems.outcome_0491_04RA,20.0
__import__.planning_dam_0491_outcome_5,__import__.planning_dam_0491,ems.outcome_0491_05RA,20.0
__import__.planning_dam_0492_outcome_1,__import__.planning_dam_0492,ems.outcome_0492_01RA,25.0
__import__.planning_dam_0492_outcome_2,__import__.planning_dam_0492,ems.outcome_0492_02RA,25.0
__import__.planning_dam_0492_outcome_3,__import__.planning_dam_0492,ems.outcome_0492_03RA,25.0
__import__.planning_dam_0492_outcome_4,__import__.planning_dam_0492,ems.outcome_0492_04RA,25.0
__import__.planning_dam_0373_outcome_1,__import__.planning_dam_0373,ems.outcome_0373_01RA,22.0
__import__.planning_dam_0373_outcome_2,__import__.planning_dam_0373,ems.outcome_0373_02RA,18.0
__import__.planning_dam_0373_outcome_3,__import__.planning_dam_0373,ems.outcome_0373_03RA,12.0
__import__.planning_dam_0373_outcome_4,__import__.planning_dam_0373,ems.outcome_0373_04RA,12.0
__import__.planning_dam_0373_outcome_5,__import__.planning_dam_0373,ems.outcome_0373_05RA,9.0
__import__.planning_dam_0373_outcome_6,__import__.planning_dam_0373,ems.outcome_0373_06RA,15.0
__import__.planning_dam_0373_outcome_7,__import__.planning_dam_0373,ems.outcome_0373_07RA,12.0
__import__.planning_dam_0179_outcome_1,__import__.planning_dam_0179,ems.outcome_0179_01RA,20.0
__import__.planning_dam_0179_outcome_2,__import__.planning_dam_0179,ems.outcome_0179_02RA,20.0
__import__.planning_dam_0179_outcome_3,__import__.planning_dam_0179,ems.outcome_0179_03RA,20.0
__import__.planning_dam_0179_outcome_4,__import__.planning_dam_0179,ems.outcome_0179_04RA,20.0
__import__.planning_dam_0179_outcome_5,__import__.planning_dam_0179,ems.outcome_0179_05RA,20.0
__import__.planning_dam_1665_outcome_1,__import__.planning_dam_1665,ems.outcome_1665_01RA,18.0
__import__.planning_dam_1665_outcome_2,__import__.planning_dam_1665,ems.outcome_1665_02RA,15.0
__import__.planning_dam_1665_outcome_3,__import__.planning_dam_1665,ems.outcome_1665_03RA,15.0
__import__.planning_dam_1665_outcome_4,__import__.planning_dam_1665,ems.outcome_1665_04RA,18.0
__import__.planning_dam_1665_outcome_5,__import__.planning_dam_1665,ems.outcome_1665_05RA,34.0
__import__.planning_dam_1708_outcome_1,__import__.planning_dam_1708,ems.outcome_1708_01RA,16.65
__import__.planning_dam_1708_outcome_2,__import__.planning_dam_1708,ems.outcome_1708_02RA,16.67
__import__.planning_dam_1708_outcome_3,__import__.planning_dam_1708,ems.outcome_1708_03RA,16.67
__import__.planning_dam_1708_outcome_4,__import__.planning_dam_1708,ems.outcome_1708_04RA,16.67
__import__.planning_dam_1708_outcome_5,__import__.planning_dam_1708,ems.outcome_1708_05RA,16.67
