id,planning_id/id,outcome_id/id,ponderation
__import__.planning_daw_0612_outcome_1,__import__.planning_daw_0612,ems.outcome_0612_01RA,14.26
__import__.planning_daw_0612_outcome_2,__import__.planning_daw_0612,ems.outcome_0612_02RA,14.29
__import__.planning_daw_0612_outcome_3,__import__.planning_daw_0612,ems.outcome_0612_03RA,14.29
__import__.planning_daw_0612_outcome_4,__import__.planning_daw_0612,ems.outcome_0612_04RA,14.29
__import__.planning_daw_0612_outcome_5,__import__.planning_daw_0612,ems.outcome_0612_05RA,14.29
__import__.planning_daw_0612_outcome_6,__import__.planning_daw_0612,ems.outcome_0612_06RA,14.29
__import__.planning_daw_0612_outcome_7,__import__.planning_daw_0612,ems.outcome_0612_07RA,14.29
__import__.planning_daw_0613_outcome_1,__import__.planning_daw_0613,ems.outcome_0613_01RA,11.12
__import__.planning_daw_0613_outcome_2,__import__.planning_daw_0613,ems.outcome_0613_02RA,11.11
__import__.planning_daw_0613_outcome_3,__import__.planning_daw_0613,ems.outcome_0613_03RA,11.11
__import__.planning_daw_0613_outcome_4,__import__.planning_daw_0613,ems.outcome_0613_04RA,11.11
__import__.planning_daw_0613_outcome_5,__import__.planning_daw_0613,ems.outcome_0613_05RA,11.11
__import__.planning_daw_0613_outcome_6,__import__.planning_daw_0613,ems.outcome_0613_06RA,11.11
__import__.planning_daw_0613_outcome_7,__import__.planning_daw_0613,ems.outcome_0613_07RA,11.11
__import__.planning_daw_0613_outcome_8,__import__.planning_daw_0613,ems.outcome_0613_08RA,11.11
__import__.planning_daw_0613_outcome_9,__import__.planning_daw_0613,ems.outcome_0613_09RA,11.11
__import__.planning_daw_0614_outcome_1,__import__.planning_daw_0614,ems.outcome_0614_01RA,16.65
__import__.planning_daw_0614_outcome_2,__import__.planning_daw_0614,ems.outcome_0614_02RA,16.67
__import__.planning_daw_0614_outcome_3,__import__.planning_daw_0614,ems.outcome_0614_03RA,16.67
__import__.planning_daw_0614_outcome_4,__import__.planning_daw_0614,ems.outcome_0614_04RA,16.67
__import__.planning_daw_0614_outcome_5,__import__.planning_daw_0614,ems.outcome_0614_05RA,16.67
__import__.planning_daw_0614_outcome_6,__import__.planning_daw_0614,ems.outcome_0614_06RA,16.67
__import__.planning_daw_0615_outcome_1,__import__.planning_daw_0615,ems.outcome_0615_01RA,22.22
__import__.planning_daw_0615_outcome_2,__import__.planning_daw_0615,ems.outcome_0615_02RA,44.44
__import__.planning_daw_0615_outcome_3,__import__.planning_daw_0615,ems.outcome_0615_03RA,5.56
__import__.planning_daw_0615_outcome_4,__import__.planning_daw_0615,ems.outcome_0615_04RA,16.67
__import__.planning_daw_0615_outcome_5,__import__.planning_daw_0615,ems.outcome_0615_05RA,2.22
__import__.planning_daw_0615_outcome_6,__import__.planning_daw_0615,ems.outcome_0615_06RA,8.89
__import__.planning_daw_0616_outcome_1,__import__.planning_daw_0616,ems.outcome_0616_01RA,25.0
__import__.planning_daw_0616_outcome_2,__import__.planning_daw_0616,ems.outcome_0616_02RA,25.0
__import__.planning_daw_0616_outcome_3,__import__.planning_daw_0616,ems.outcome_0616_03RA,25.0
__import__.planning_daw_0616_outcome_4,__import__.planning_daw_0616,ems.outcome_0616_04RA,25.0
__import__.planning_daw_0483_outcome_1,__import__.planning_daw_0483,ems.outcome_0483_01RA,10.0
__import__.planning_daw_0483_outcome_2,__import__.planning_daw_0483,ems.outcome_0483_02RA,10.0
__import__.planning_daw_0483_outcome_3,__import__.planning_daw_0483,ems.outcome_0483_03RA,10.0
__import__.planning_daw_0483_outcome_4,__import__.planning_daw_0483,ems.outcome_0483_04RA,10.0
__import__.planning_daw_0483_outcome_5,__import__.planning_daw_0483,ems.outcome_0483_05RA,20.0
__import__.planning_daw_0483_outcome_6,__import__.planning_daw_0483,ems.outcome_0483_06RA,20.0
__import__.planning_daw_0483_outcome_7,__import__.planning_daw_0483,ems.outcome_0483_07RA,20.0
__import__.planning_daw_0484_outcome_1,__import__.planning_daw_0484,ems.outcome_0484_01RA,5.0
__import__.planning_daw_0484_outcome_2,__import__.planning_daw_0484,ems.outcome_0484_02RA,20.0
__import__.planning_daw_0484_outcome_3,__import__.planning_daw_0484,ems.outcome_0484_03RA,15.0
__import__.planning_daw_0484_outcome_4,__import__.planning_daw_0484,ems.outcome_0484_04RA,20.0
__import__.planning_daw_0484_outcome_5,__import__.planning_daw_0484,ems.outcome_0484_05RA,20.0
__import__.planning_daw_0484_outcome_6,__import__.planning_daw_0484,ems.outcome_0484_06RA,15.0
__import__.planning_daw_0484_outcome_7,__import__.planning_daw_0484,ems.outcome_0484_07RA,5.0
