id,planning_id/id,outcome_id/id,ponderation
__import__.planning_ga_0437_outcome_1,__import__.planning_ga_0437,ems.outcome_0437_01RA,12.5
__import__.planning_ga_0437_outcome_2,__import__.planning_ga_0437,ems.outcome_0437_02RA,12.5
__import__.planning_ga_0437_outcome_3,__import__.planning_ga_0437,ems.outcome_0437_03RA,12.5
__import__.planning_ga_0437_outcome_4,__import__.planning_ga_0437,ems.outcome_0437_04RA,12.5
__import__.planning_ga_0437_outcome_5,__import__.planning_ga_0437,ems.outcome_0437_05RA,12.5
__import__.planning_ga_0437_outcome_6,__import__.planning_ga_0437,ems.outcome_0437_06RA,12.5
__import__.planning_ga_0437_outcome_7,__import__.planning_ga_0437,ems.outcome_0437_07RA,12.5
__import__.planning_ga_0437_outcome_8,__import__.planning_ga_0437,ems.outcome_0437_08RA,12.5
__import__.planning_ga_0438_outcome_1,__import__.planning_ga_0438,ems.outcome_0438_01RA,13.0
__import__.planning_ga_0438_outcome_2,__import__.planning_ga_0438,ems.outcome_0438_02RA,33.0
__import__.planning_ga_0438_outcome_3,__import__.planning_ga_0438,ems.outcome_0438_03RA,30.0
__import__.planning_ga_0438_outcome_4,__import__.planning_ga_0438,ems.outcome_0438_04RA,15.0
__import__.planning_ga_0438_outcome_5,__import__.planning_ga_0438,ems.outcome_0438_05RA,9.0
__import__.planning_ga_0439_outcome_1,__import__.planning_ga_0439,ems.outcome_0439_01RA,11.0
__import__.planning_ga_0439_outcome_2,__import__.planning_ga_0439,ems.outcome_0439_02RA,11.0
__import__.planning_ga_0439_outcome_3,__import__.planning_ga_0439,ems.outcome_0439_03RA,12.0
__import__.planning_ga_0439_outcome_4,__import__.planning_ga_0439,ems.outcome_0439_04RA,24.0
__import__.planning_ga_0439_outcome_5,__import__.planning_ga_0439,ems.outcome_0439_05RA,19.0
__import__.planning_ga_0439_outcome_6,__import__.planning_ga_0439,ems.outcome_0439_06RA,12.0
__import__.planning_ga_0439_outcome_7,__import__.planning_ga_0439,ems.outcome_0439_07RA,11.0
__import__.planning_ga_0440_outcome_1,__import__.planning_ga_0440,ems.outcome_0440_01RA,12.22
__import__.planning_ga_0440_outcome_2,__import__.planning_ga_0440,ems.outcome_0440_02RA,16.67
__import__.planning_ga_0440_outcome_3,__import__.planning_ga_0440,ems.outcome_0440_03RA,17.78
__import__.planning_ga_0440_outcome_4,__import__.planning_ga_0440,ems.outcome_0440_04RA,15.56
__import__.planning_ga_0440_outcome_5,__import__.planning_ga_0440,ems.outcome_0440_05RA,11.11
__import__.planning_ga_0440_outcome_6,__import__.planning_ga_0440,ems.outcome_0440_06RA,14.44
__import__.planning_ga_0440_outcome_7,__import__.planning_ga_0440,ems.outcome_0440_07RA,4.44
__import__.planning_ga_0440_outcome_8,__import__.planning_ga_0440,ems.outcome_0440_08RA,7.78
__import__.planning_ga_0441_outcome_1,__import__.planning_ga_0441,ems.outcome_0441_01RA,16.67
__import__.planning_ga_0441_outcome_2,__import__.planning_ga_0441,ems.outcome_0441_02RA,16.67
