id,planning_id/id,outcome_id/id,ponderation
__import__.planning_opt2_outcome_1,__import__.planning_opt2,__import__.outcome_OPT2_01RA,20.0
__import__.planning_opt2_outcome_2,__import__.planning_opt2,__import__.outcome_OPT2_02RA,20.0
__import__.planning_opt2_outcome_3,__import__.planning_opt2,__import__.outcome_OPT2_03RA,20.0
__import__.planning_opt2_outcome_4,__import__.planning_opt2,__import__.outcome_OPT2_04RA,20.0
__import__.planning_opt2_outcome_5,__import__.planning_opt2,__import__.outcome_OPT2_05RA,20.0
__import__.planning_opt1_outcome_1,__import__.planning_opt1,__import__.outcome_OPT1_01RA,25.0
__import__.planning_opt1_outcome_2,__import__.planning_opt1,__import__.outcome_OPT1_02RA,5.0
__import__.planning_opt1_outcome_3,__import__.planning_opt1,__import__.outcome_OPT1_03RA,5.0
__import__.planning_opt1_outcome_4,__import__.planning_opt1,__import__.outcome_OPT1_04RA,25.0
__import__.planning_opt1_outcome_5,__import__.planning_opt1,__import__.outcome_OPT1_05RA,40.0
__import__.planning_opt3_outcome_1,__import__.planning_opt3,__import__.outcome_OPT3_01RA,33.0
__import__.planning_opt3_outcome_2,__import__.planning_opt3,__import__.outcome_OPT3_02RA,33.0
__import__.planning_opt3_outcome_3,__import__.planning_opt3,__import__.outcome_OPT3_03RA,34.0
__import__.planning_opt3_daw_outcome_1,__import__.planning_opt3_daw,__import__.outcome_OPT3_01RA,33.0
__import__.planning_opt3_daw_outcome_2,__import__.planning_opt3_daw,__import__.outcome_OPT3_02RA,33.0
__import__.planning_opt3_daw_outcome_3,__import__.planning_opt3_daw,__import__.outcome_OPT3_03RA,34.0
__import__.planning_opt4_outcome_1,__import__.planning_opt4,__import__.outcome_OPT4_01RA,45.0
__import__.planning_opt4_outcome_2,__import__.planning_opt4,__import__.outcome_OPT4_02RA,25.0
__import__.planning_opt4_outcome_3,__import__.planning_opt4,__import__.outcome_OPT4_03RA,15.0
__import__.planning_opt4_outcome_4,__import__.planning_opt4,__import__.outcome_OPT4_04RA,15.0
__import__.planning_opt5_outcome_1,__import__.planning_opt5,__import__.outcome_OPT5_01RA,55.0
__import__.planning_opt5_outcome_2,__import__.planning_opt5,__import__.outcome_OPT5_02RA,30.0
__import__.planning_opt5_outcome_3,__import__.planning_opt5,__import__.outcome_OPT5_03RA,7.5
__import__.planning_opt5_outcome_4,__import__.planning_opt5,__import__.outcome_OPT5_04RA,7.5
