id,planning_id/id,outcome_id/id,ponderation
__import__.planning_sa_3002_outcome_1,__import__.planning_sa_3002,ems.outcome_3002_01RA,25.0
__import__.planning_sa_3002_outcome_2,__import__.planning_sa_3002,ems.outcome_3002_02RA,25.0
__import__.planning_sa_3002_outcome_3,__import__.planning_sa_3002,ems.outcome_3002_03RA,25.0
__import__.planning_sa_3002_outcome_4,__import__.planning_sa_3002,ems.outcome_3002_04RA,25.0
__import__.planning_sa_3003_outcome_1,__import__.planning_sa_3003,ems.outcome_3003_01RA,18.0
__import__.planning_sa_3003_outcome_2,__import__.planning_sa_3003,ems.outcome_3003_02RA,24.0
__import__.planning_sa_3003_outcome_3,__import__.planning_sa_3003,ems.outcome_3003_03RA,34.0
__import__.planning_sa_3003_outcome_4,__import__.planning_sa_3003,ems.outcome_3003_04RA,24.0
__import__.planning_sa_3006_outcome_1,__import__.planning_sa_3006,ems.outcome_3006_01RA,25.0
__import__.planning_sa_3006_outcome_2,__import__.planning_sa_3006,ems.outcome_3006_02RA,25.0
__import__.planning_sa_3006_outcome_3,__import__.planning_sa_3006,ems.outcome_3006_03RA,25.0
__import__.planning_sa_3006_outcome_4,__import__.planning_sa_3006,ems.outcome_3006_04RA,25.0
__import__.planning_sa_3159_outcome_1,__import__.planning_sa_3159,ems.outcome_3159_01RA,16.65
__import__.planning_sa_3159_outcome_2,__import__.planning_sa_3159,ems.outcome_3159_02RA,16.67
__import__.planning_sa_3159_outcome_3,__import__.planning_sa_3159,ems.outcome_3159_03RA,16.67
__import__.planning_sa_3159_outcome_4,__import__.planning_sa_3159,ems.outcome_3159_04RA,16.67
__import__.planning_sa_3159_outcome_5,__import__.planning_sa_3159,ems.outcome_3159_05RA,16.67
__import__.planning_sa_3159_outcome_6,__import__.planning_sa_3159,ems.outcome_3159_06RA,16.67
__import__.planning_sa_3001_outcome_1,__import__.planning_sa_3001,ems.outcome_3001_01RA,25.0
__import__.planning_sa_3001_outcome_2,__import__.planning_sa_3001,ems.outcome_3001_02RA,25.0
__import__.planning_sa_3001_outcome_3,__import__.planning_sa_3001,ems.outcome_3001_03RA,25.0
__import__.planning_sa_3001_outcome_4,__import__.planning_sa_3001,ems.outcome_3001_04RA,25.0
__import__.planning_sa_3004_outcome_1,__import__.planning_sa_3004,ems.outcome_3004_01RA,25.0
__import__.planning_sa_3004_outcome_2,__import__.planning_sa_3004,ems.outcome_3004_02RA,25.0
__import__.planning_sa_3004_outcome_3,__import__.planning_sa_3004,ems.outcome_3004_03RA,25.0
__import__.planning_sa_3004_outcome_4,__import__.planning_sa_3004,ems.outcome_3004_04RA,25.0
__import__.planning_sa_3005_outcome_1,__import__.planning_sa_3005,ems.outcome_3005_01RA,25.0
__import__.planning_sa_3005_outcome_2,__import__.planning_sa_3005,ems.outcome_3005_02RA,25.0
__import__.planning_sa_3005_outcome_3,__import__.planning_sa_3005,ems.outcome_3005_03RA,25.0
__import__.planning_sa_3005_outcome_4,__import__.planning_sa_3005,ems.outcome_3005_04RA,25.0
__import__.planning_sa_3160_outcome_1,__import__.planning_sa_3160,ems.outcome_3160_01RA,20.0
__import__.planning_sa_3160_outcome_2,__import__.planning_sa_3160,ems.outcome_3160_02RA,20.0
__import__.planning_sa_3160_outcome_3,__import__.planning_sa_3160,ems.outcome_3160_03RA,20.0
__import__.planning_sa_3160_outcome_4,__import__.planning_sa_3160,ems.outcome_3160_04RA,20.0
__import__.planning_sa_3160_outcome_5,__import__.planning_sa_3160,ems.outcome_3160_05RA,20.0
