id,planning_id/id,outcome_id/id,ponderation
__import__.planning_smx_0221_outcome_1,__import__.planning_smx_0221,ems.outcome_0221_01RA,12.5
__import__.planning_smx_0221_outcome_2,__import__.planning_smx_0221,ems.outcome_0221_02RA,12.5
__import__.planning_smx_0221_outcome_3,__import__.planning_smx_0221,ems.outcome_0221_03RA,12.5
__import__.planning_smx_0221_outcome_4,__import__.planning_smx_0221,ems.outcome_0221_04RA,12.5
__import__.planning_smx_0221_outcome_5,__import__.planning_smx_0221,ems.outcome_0221_05RA,12.5
__import__.planning_smx_0221_outcome_6,__import__.planning_smx_0221,ems.outcome_0221_06RA,12.5
__import__.planning_smx_0221_outcome_7,__import__.planning_smx_0221,ems.outcome_0221_07RA,12.5
__import__.planning_smx_0221_outcome_8,__import__.planning_smx_0221,ems.outcome_0221_08RA,12.5
__import__.planning_smx_0222_outcome_1,__import__.planning_smx_0222,ems.outcome_0222_01RA,10.0
__import__.planning_smx_0222_outcome_2,__import__.planning_smx_0222,ems.outcome_0222_02RA,10.0
__import__.planning_smx_0222_outcome_3,__import__.planning_smx_0222,ems.outcome_0222_03RA,30.0
__import__.planning_smx_0222_outcome_4,__import__.planning_smx_0222,ems.outcome_0222_04RA,30.0
__import__.planning_smx_0222_outcome_5,__import__.planning_smx_0222,ems.outcome_0222_05RA,20.0
__import__.planning_smx_0223_outcome_1,__import__.planning_smx_0223,ems.outcome_0223_01RA,2.02
__import__.planning_smx_0223_outcome_2,__import__.planning_smx_0223,ems.outcome_0223_02RA,23.23
__import__.planning_smx_0223_outcome_3,__import__.planning_smx_0223,ems.outcome_0223_03RA,22.22
__import__.planning_smx_0223_outcome_4,__import__.planning_smx_0223,ems.outcome_0223_04RA,25.26
__import__.planning_smx_0223_outcome_5,__import__.planning_smx_0223,ems.outcome_0223_05RA,5.05
__import__.planning_smx_0223_outcome_6,__import__.planning_smx_0223,ems.outcome_0223_06RA,5.05
__import__.planning_smx_0223_outcome_7,__import__.planning_smx_0223,ems.outcome_0223_07RA,6.06
__import__.planning_smx_0223_outcome_8,__import__.planning_smx_0223,ems.outcome_0223_08RA,5.05
__import__.planning_smx_0223_outcome_9,__import__.planning_smx_0223,ems.outcome_0223_09RA,6.06
__import__.planning_smx_0224_outcome_1,__import__.planning_smx_0224,ems.outcome_0224_01RA,16.65
__import__.planning_smx_0224_outcome_2,__import__.planning_smx_0224,ems.outcome_0224_02RA,16.67
__import__.planning_smx_0224_outcome_3,__import__.planning_smx_0224,ems.outcome_0224_03RA,16.67
__import__.planning_smx_0224_outcome_4,__import__.planning_smx_0224,ems.outcome_0224_04RA,16.67
__import__.planning_smx_0224_outcome_5,__import__.planning_smx_0224,ems.outcome_0224_05RA,16.67
