id,code,acronym,name,internal_hours,external_hours,ects,subject_id:id
"ems.subject_175_2022_CAT1","175_2022_CAT1","CAT1","Llengua Catalana i Literatura (1r)",245,0,0,""
"ems.subject_175_2022_CAT2","175_2022_CAT2","CAT2","Llengua Catalana i Literatura (2n)",245,0,0,""
"ems.subject_175_2022_CAT3","175_2022_CAT3","CAT3","Llengua Catalana i Literatura (3r)",245,0,0,""
"ems.subject_175_2022_CAT4","175_2022_CAT4","CAT4","Llengua Catalana i Literatura (4t)",105,0,0,""
"ems.subject_175_2022_CAS1","175_2022_CAS1","CAS1","Llengua Castellana i Literatura (1r)",245,0,0,""
"ems.subject_175_2022_CAS2","175_2022_CAS2","CAS2","Llengua Castellana i Literatura (2n)",245,0,0,""
"ems.subject_175_2022_CAS3","175_2022_CAS3","CAS3","Llengua Castellana i Literatura (3r)",245,0,0,""
"ems.subject_175_2022_CAS4","175_2022_CAS4","CAS4","Llengua Castellana i Literatura (4t)",105,0,0,""
"ems.subject_175_2022_ANG1","175_2022_ANG1","ANG1","Anglès (1r)",280,0,0,""
"ems.subject_175_2022_ANG2","175_2022_ANG2","ANG2","Anglès (2n)",280,0,0,""
"ems.subject_175_2022_ANG3","175_2022_ANG3","ANG3","Anglès (3r)",280,0,0,""
"ems.subject_175_2022_ANG4","175_2022_ANG4","ANG4","Anglès (4t)",105,0,0,""
"ems.subject_175_2022_FRA1","175_2022_FRA1","FRA1","Francès (1r)",210,0,0,""
"ems.subject_175_2022_FRA2","175_2022_FRA2","FRA2","Francès (2n)",210,0,0,""
"ems.subject_175_2022_FRA3","175_2022_FRA3","FRA3","Francès (3r)",210,0,0,""
"ems.subject_175_2022_FRA4","175_2022_FRA4","FRA4","Francès (4t)",70,0,0,""
"ems.subject_175_2022_CCSS1","175_2022_CCSS1","CCSS1","Ciències Socials: Geografia i Història (1r)",280,0,0,""
"ems.subject_175_2022_CCSS2","175_2022_CCSS2","CCSS","Ciències Socials: Geografia i Història (2n)",280,0,0,""
"ems.subject_175_2022_CCSS3","175_2022_CCSS3","CCSS3","Ciències Socials: Geografia i Història (3r)",280,0,0,""
"ems.subject_175_2022_CCSS4","175_2022_CCSS4","CCSS4","Ciències Socials: Geografia i Història (4t)",70,0,0,""
"ems.subject_175_2022_EF1","175_2022_EF1","EF1","Educació Física (1r)",210,0,0,""
"ems.subject_175_2022_EF2","175_2022_EF2","EF2","Educació Física (2n)",210,0,0,""
"ems.subject_175_2022_EF3","175_2022_EF3","EF3","Educació Física (3r)",210,0,0,""
"ems.subject_175_2022_EF4","175_2022_EF4","EF4","Educació Física (4t)",70,0,0,""
"ems.subject_175_2022_MAT1","175_2022_MAT1","MAT1","Matemàtiques (1r)",315,0,0,""
"ems.subject_175_2022_MAT2","175_2022_MAT2","MAT2","Matemàtiques (2n)",315,0,0,""
"ems.subject_175_2022_MAT3","175_2022_MAT3","MAT3","Matemàtiques (3r)",315,0,0,""
"ems.subject_175_2022_MAT4","175_2022_MAT4","MAT4","Matemàtiques (4t)",140,0,0,""
"ems.subject_175_2022_TUT1","175_2022_TUT1","TUT1","Tutoria (1r)",105,0,0,""
"ems.subject_175_2022_TUT2","175_2022_TUT2","TUT2","Tutoria (2n)",105,0,0,""
"ems.subject_175_2022_TUT3","175_2022_TUT3","TUT3","Tutoria (3r)",105,0,0,""
"ems.subject_175_2022_TUT4","175_2022_TUT4","TUT4","Tutoria (4t)",35,0,0,""
"ems.subject_175_2022_BIO1","175_2022_BIO1","BIO1","Biologia i Geologia (1r)",140,0,0,""
"ems.subject_175_2022_BIO2","175_2022_BIO2","BIO2","Biologia i Geologia (2n)",140,0,0,""
"ems.subject_175_2022_BIO3","175_2022_BIO3","BIO3","Biologia i Geologia (3r)",140,0,0,""
"ems.subject_175_2022_BIO4","175_2022_BIO4","BIO4","Biologia i Geologia (4t)",70,0,0,""
"ems.subject_175_2022_CLTC","175_2022_CLTC","CLTC","Cultura científica",70,0,0,""
"ems.subject_175_2022_FIQ2","175_2022_FIQ2","FIQ2","Física i Química (1r)",140,0,0,""
"ems.subject_175_2022_FIQ3","175_2022_FIQ3","FIQ3","Física i Química (2n)",140,0,0,""
"ems.subject_175_2022_FIQ4","175_2022_FIQ4","FIQ4","Física i Química (3r)",70,0,0,""
"ems.subject_175_2022_TEC2","175_2022_TEC2","TEC2","Tecnologia i Digitalització (2n)",175,0,0,""
"ems.subject_175_2022_TEC3","175_2022_TEC3","TEC3","Tecnologia i Digitalització (3r)",175,0,0,""
"ems.subject_175_2022_TEC4","175_2022_TEC4","TEC4","Tecnologia i Digitalització (4t)",70,0,0,""
"ems.subject_175_2022_ROB2","175_2022_ROB2","ROB2","Robòtica (2n)",70,0,0,""
"ems.subject_175_2022_ROB3","175_2022_ROB3","ROB3","Robòtica (2n)",67,0,0,""
"ems.subject_175_2022_INF","175_2022_INF","INF","Informàtica",70,0,0,""
"ems.subject_175_2022_OFI","175_2022_OFI","OFI","Ofimàtica i multimèdia (optativa digitalització)",64,0,0,""
"ems.subject_175_2022_TSI1","175_2022_TSI1","TSI1","Treball de Síntesi (1r)",0,0,0,""
"ems.subject_175_2022_TSI2","175_2022_TSI2","TSI2","Treball de Síntesi (2n)",0,0,0,""
"ems.subject_175_2022_TSI3","175_2022_TSI3","TSI3","Treball de Síntesi (3r)",0,0,0,""
"ems.subject_175_2022_PREC","175_2022_PREC","PREC","Projecte de Recerca (4t)",35,0,0,""
