id,type_id/id,section_id/id,sequence,required
__import__.minute_type_section_generic_previous,__import__.minute_type_generic,__import__.minute_section_previous,10,0
__import__.minute_type_section_generic_agreement_followup,__import__.minute_type_generic,__import__.minute_section_agreement_followup,20,0
__import__.minute_type_section_generic_agenda,__import__.minute_type_generic,__import__.minute_section_agenda,30,0
__import__.minute_type_section_generic_development,__import__.minute_type_generic,__import__.minute_section_development,40,1
__import__.minute_type_section_generic_requests,__import__.minute_type_generic,__import__.minute_section_requests,50,0
__import__.minute_type_section_generic_agreements,__import__.minute_type_generic,__import__.minute_section_agreements,60,0
__import__.minute_type_section_generic_pending,__import__.minute_type_generic,__import__.minute_section_pending,70,0
__import__.minute_type_section_generic_annexes,__import__.minute_type_generic,__import__.minute_section_annexes,80,0
__import__.minute_type_section_generic_signature,__import__.minute_type_generic,__import__.minute_section_signature,90,0
__import__.minute_type_section_dep_ccff_previous,__import__.minute_type_dep_ccff,__import__.minute_section_previous,10,0
__import__.minute_type_section_dep_ccff_agreement_followup,__import__.minute_type_dep_ccff,__import__.minute_section_agreement_followup,20,0
__import__.minute_type_section_dep_ccff_harmonisation,__import__.minute_type_dep_ccff,__import__.minute_section_harmonisation,30,0
__import__.minute_type_section_dep_ccff_clil,__import__.minute_type_dep_ccff,__import__.minute_section_clil,40,0
__import__.minute_type_section_dep_ccff_agenda,__import__.minute_type_dep_ccff,__import__.minute_section_agenda,50,0
__import__.minute_type_section_dep_ccff_development,__import__.minute_type_dep_ccff,__import__.minute_section_development,60,1
__import__.minute_type_section_dep_ccff_requests,__import__.minute_type_dep_ccff,__import__.minute_section_requests,70,0
__import__.minute_type_section_dep_ccff_agreements,__import__.minute_type_dep_ccff,__import__.minute_section_agreements,80,0
__import__.minute_type_section_dep_ccff_pending,__import__.minute_type_dep_ccff,__import__.minute_section_pending,90,0
__import__.minute_type_section_dep_ccff_annexes,__import__.minute_type_dep_ccff,__import__.minute_section_annexes,100,0
__import__.minute_type_section_dep_ccff_signature,__import__.minute_type_dep_ccff,__import__.minute_section_signature,110,0
__import__.minute_type_section_dep_eso_previous,__import__.minute_type_dep_eso,__import__.minute_section_previous,10,0
__import__.minute_type_section_dep_eso_agreement_followup,__import__.minute_type_dep_eso,__import__.minute_section_agreement_followup,20,0
__import__.minute_type_section_dep_eso_agenda,__import__.minute_type_dep_eso,__import__.minute_section_agenda,30,0
__import__.minute_type_section_dep_eso_development,__import__.minute_type_dep_eso,__import__.minute_section_development,40,1
__import__.minute_type_section_dep_eso_requests,__import__.minute_type_dep_eso,__import__.minute_section_requests,50,0
__import__.minute_type_section_dep_eso_agreements,__import__.minute_type_dep_eso,__import__.minute_section_agreements,60,0
__import__.minute_type_section_dep_eso_pending,__import__.minute_type_dep_eso,__import__.minute_section_pending,70,0
__import__.minute_type_section_dep_eso_annexes,__import__.minute_type_dep_eso,__import__.minute_section_annexes,80,0
__import__.minute_type_section_dep_eso_signature,__import__.minute_type_dep_eso,__import__.minute_section_signature,90,0
__import__.minute_type_section_claustre_agenda,__import__.minute_type_claustre,__import__.minute_section_agenda,10,0
__import__.minute_type_section_claustre_development,__import__.minute_type_claustre,__import__.minute_section_development,20,1
__import__.minute_type_section_claustre_requests,__import__.minute_type_claustre,__import__.minute_section_requests,30,0
__import__.minute_type_section_claustre_agreements,__import__.minute_type_claustre,__import__.minute_section_agreements,40,0
__import__.minute_type_section_claustre_pending,__import__.minute_type_claustre,__import__.minute_section_pending,50,0
__import__.minute_type_section_claustre_annexes,__import__.minute_type_claustre,__import__.minute_section_annexes,60,0
