id,code,name,procedure_id/id,is_process_map,active
__import__.quality_doc_process_map,,Mapa de processos,,1,1
__import__.quality_doc_pe3_01_17,PE3.01.17,Model d'acta i de registre d'evidències,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe1_09_01,PE1.09.01,Model de Revisió per la Direcció,__import__.quality_procedure_pe1_09,0,1
__import__.quality_doc_pe1_09_02,PE1.09.02,Model de Revisió per la Direcció (gener),__import__.quality_procedure_pe1_09,0,1
__import__.quality_doc_pe1_09_03,PE1.09.03,Model de Revisió per la Direcció (full de càlcul),__import__.quality_procedure_pe1_09,0,1
__import__.quality_doc_pe3_01_02,PE3.01.02,Acta de reunió genèrica (plantilla),__import__.quality_procedure_pe3_01,0,0
__import__.quality_doc_pe3_01_03,PE3.01.03,Manual de redacció d'actes,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_04,PE3.01.04,Manual del document d'anàlisis i seguiment,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_05,PE3.01.05,Guia bàsica per a la documentació del docent,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_06,PE3.01.06,Guia bàsica per a la documentació del tutor,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_07,PE3.01.07,Manual de control de canvis i versions amb Google Drive,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_08,PE3.01.08,Manual de recollida d'indicadors,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_09,PE3.01.09,EPIQ Manual de l'usuari,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_10,PE3.01.10,Programació del Mòdul Professional (plantilla abans 2024-2025),__import__.quality_procedure_pe3_01,0,0
__import__.quality_doc_pe3_01_11,PE3.01.11,Manual de preparació de la RxD,__import__.quality_procedure_pe3_01,0,1
__import__.quality_doc_pe3_01_12,PE3.01.12,Guia programacio LOE (juny 2024 - v1),__import__.quality_procedure_pe3_01,0,1
