id,calendar_id/id,name,dayofweek,hour_from,hour_to,day_period,non_teaching/id
__import__.schedule_framework_eso_0_01,__import__.schedule_framework_eso,Free,0,8,9,morning,
__import__.schedule_framework_eso_0_02,__import__.schedule_framework_eso,Free,0,9,10,morning,
__import__.schedule_framework_eso_0_03,__import__.schedule_framework_eso,BR: Break,0,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_eso_0_04,__import__.schedule_framework_eso,Free,0,10.416667,11.416667,morning,
__import__.schedule_framework_eso_0_05,__import__.schedule_framework_eso,Free,0,11.416667,12.416667,morning,
__import__.schedule_framework_eso_0_06,__import__.schedule_framework_eso,BR: Break,0,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_eso_0_07,__import__.schedule_framework_eso,Free,0,12.666667,13.666667,afternoon,
__import__.schedule_framework_eso_0_08,__import__.schedule_framework_eso,Free,0,13.666667,14.666667,afternoon,
__import__.schedule_framework_eso_1_01,__import__.schedule_framework_eso,Free,1,8,9,morning,
__import__.schedule_framework_eso_1_02,__import__.schedule_framework_eso,Free,1,9,10,morning,
__import__.schedule_framework_eso_1_03,__import__.schedule_framework_eso,BR: Break,1,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_eso_1_04,__import__.schedule_framework_eso,Free,1,10.416667,11.416667,morning,
__import__.schedule_framework_eso_1_05,__import__.schedule_framework_eso,Free,1,11.416667,12.416667,morning,
__import__.schedule_framework_eso_1_06,__import__.schedule_framework_eso,BR: Break,1,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_eso_1_07,__import__.schedule_framework_eso,Free,1,12.666667,13.666667,afternoon,
__import__.schedule_framework_eso_1_08,__import__.schedule_framework_eso,Free,1,13.666667,14.666667,afternoon,
__import__.schedule_framework_eso_2_01,__import__.schedule_framework_eso,Free,2,8,9,morning,
__import__.schedule_framework_eso_2_02,__import__.schedule_framework_eso,Free,2,9,10,morning,
__import__.schedule_framework_eso_2_03,__import__.schedule_framework_eso,BR: Break,2,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_eso_2_04,__import__.schedule_framework_eso,Free,2,10.416667,11.416667,morning,
__import__.schedule_framework_eso_2_05,__import__.schedule_framework_eso,Free,2,11.416667,12.416667,morning,
__import__.schedule_framework_eso_2_06,__import__.schedule_framework_eso,BR: Break,2,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_eso_2_07,__import__.schedule_framework_eso,Free,2,12.666667,13.666667,afternoon,
__import__.schedule_framework_eso_2_08,__import__.schedule_framework_eso,Free,2,13.666667,14.666667,afternoon,
__import__.schedule_framework_eso_2_09,__import__.schedule_framework_eso,CM: Coordination Meeting,2,16,18,afternoon,ems.non_teaching_cm
__import__.schedule_framework_eso_3_01,__import__.schedule_framework_eso,Free,3,8,9,morning,
__import__.schedule_framework_eso_3_02,__import__.schedule_framework_eso,Free,3,9,10,morning,
__import__.schedule_framework_eso_3_03,__import__.schedule_framework_eso,BR: Break,3,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_eso_3_04,__import__.schedule_framework_eso,Free,3,10.416667,11.416667,morning,
__import__.schedule_framework_eso_3_05,__import__.schedule_framework_eso,Free,3,11.416667,12.416667,morning,
__import__.schedule_framework_eso_3_06,__import__.schedule_framework_eso,BR: Break,3,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_eso_3_07,__import__.schedule_framework_eso,Free,3,12.666667,13.666667,afternoon,
__import__.schedule_framework_eso_3_08,__import__.schedule_framework_eso,Free,3,13.666667,14.666667,afternoon,
__import__.schedule_framework_eso_4_01,__import__.schedule_framework_eso,Free,4,8,9,morning,
__import__.schedule_framework_eso_4_02,__import__.schedule_framework_eso,Free,4,9,10,morning,
__import__.schedule_framework_eso_4_03,__import__.schedule_framework_eso,BR: Break,4,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_eso_4_04,__import__.schedule_framework_eso,Free,4,10.416667,11.416667,morning,
__import__.schedule_framework_eso_4_05,__import__.schedule_framework_eso,Free,4,11.416667,12.416667,morning,
__import__.schedule_framework_eso_4_06,__import__.schedule_framework_eso,BR: Break,4,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_eso_4_07,__import__.schedule_framework_eso,Free,4,12.666667,13.666667,afternoon,
__import__.schedule_framework_eso_4_08,__import__.schedule_framework_eso,Free,4,13.666667,14.666667,afternoon,
__import__.schedule_framework_btx_0_01,__import__.schedule_framework_btx,Free,0,8,9,morning,
__import__.schedule_framework_btx_0_02,__import__.schedule_framework_btx,Free,0,9,10,morning,
__import__.schedule_framework_btx_0_03,__import__.schedule_framework_btx,BR: Break,0,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_btx_0_04,__import__.schedule_framework_btx,Free,0,10.416667,11.416667,morning,
__import__.schedule_framework_btx_0_05,__import__.schedule_framework_btx,Free,0,11.416667,12.416667,morning,
__import__.schedule_framework_btx_0_06,__import__.schedule_framework_btx,BR: Break,0,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_btx_0_07,__import__.schedule_framework_btx,Free,0,12.666667,13.666667,afternoon,
__import__.schedule_framework_btx_0_08,__import__.schedule_framework_btx,Free,0,13.666667,14.666667,afternoon,
__import__.schedule_framework_btx_1_01,__import__.schedule_framework_btx,Free,1,8,9,morning,
__import__.schedule_framework_btx_1_02,__import__.schedule_framework_btx,Free,1,9,10,morning,
__import__.schedule_framework_btx_1_03,__import__.schedule_framework_btx,BR: Break,1,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_btx_1_04,__import__.schedule_framework_btx,Free,1,10.416667,11.416667,morning,
__import__.schedule_framework_btx_1_05,__import__.schedule_framework_btx,Free,1,11.416667,12.416667,morning,
__import__.schedule_framework_btx_1_06,__import__.schedule_framework_btx,BR: Break,1,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_btx_1_07,__import__.schedule_framework_btx,Free,1,12.666667,13.666667,afternoon,
__import__.schedule_framework_btx_1_08,__import__.schedule_framework_btx,Free,1,13.666667,14.666667,afternoon,
__import__.schedule_framework_btx_2_01,__import__.schedule_framework_btx,Free,2,8,9,morning,
__import__.schedule_framework_btx_2_02,__import__.schedule_framework_btx,Free,2,9,10,morning,
__import__.schedule_framework_btx_2_03,__import__.schedule_framework_btx,BR: Break,2,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_btx_2_04,__import__.schedule_framework_btx,Free,2,10.416667,11.416667,morning,
__import__.schedule_framework_btx_2_05,__import__.schedule_framework_btx,Free,2,11.416667,12.416667,morning,
__import__.schedule_framework_btx_2_06,__import__.schedule_framework_btx,BR: Break,2,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_btx_2_07,__import__.schedule_framework_btx,Free,2,12.666667,13.666667,afternoon,
__import__.schedule_framework_btx_2_08,__import__.schedule_framework_btx,Free,2,13.666667,14.666667,afternoon,
__import__.schedule_framework_btx_2_09,__import__.schedule_framework_btx,CM: Coordination Meeting,2,16,18,afternoon,ems.non_teaching_cm
__import__.schedule_framework_btx_3_01,__import__.schedule_framework_btx,Free,3,8,9,morning,
__import__.schedule_framework_btx_3_02,__import__.schedule_framework_btx,Free,3,9,10,morning,
__import__.schedule_framework_btx_3_03,__import__.schedule_framework_btx,BR: Break,3,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_btx_3_04,__import__.schedule_framework_btx,Free,3,10.416667,11.416667,morning,
__import__.schedule_framework_btx_3_05,__import__.schedule_framework_btx,Free,3,11.416667,12.416667,morning,
__import__.schedule_framework_btx_3_06,__import__.schedule_framework_btx,BR: Break,3,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_btx_3_07,__import__.schedule_framework_btx,Free,3,12.666667,13.666667,afternoon,
__import__.schedule_framework_btx_3_08,__import__.schedule_framework_btx,Free,3,13.666667,14.666667,afternoon,
__import__.schedule_framework_btx_4_01,__import__.schedule_framework_btx,Free,4,8,9,morning,
__import__.schedule_framework_btx_4_02,__import__.schedule_framework_btx,Free,4,9,10,morning,
__import__.schedule_framework_btx_4_03,__import__.schedule_framework_btx,BR: Break,4,10,10.416667,morning,ems.non_teaching_br
__import__.schedule_framework_btx_4_04,__import__.schedule_framework_btx,Free,4,10.416667,11.416667,morning,
__import__.schedule_framework_btx_4_05,__import__.schedule_framework_btx,Free,4,11.416667,12.416667,morning,
__import__.schedule_framework_btx_4_06,__import__.schedule_framework_btx,BR: Break,4,12.416667,12.666667,afternoon,ems.non_teaching_br
__import__.schedule_framework_btx_4_07,__import__.schedule_framework_btx,Free,4,12.666667,13.666667,afternoon,
__import__.schedule_framework_btx_4_08,__import__.schedule_framework_btx,Free,4,13.666667,14.666667,afternoon,
__import__.schedule_framework_cfgm_0_01,__import__.schedule_framework_cfgm,Free,0,8,9,morning,
__import__.schedule_framework_cfgm_0_02,__import__.schedule_framework_cfgm,Free,0,9,10,morning,
__import__.schedule_framework_cfgm_0_03,__import__.schedule_framework_cfgm,Free,0,10,11,morning,
__import__.schedule_framework_cfgm_0_04,__import__.schedule_framework_cfgm,BR: Break,0,11,11.416667,morning,ems.non_teaching_br
